Drake;93
Metro Boomin;89
Eminem;88
Travis Scott;88
21 Savage;88
Future;88
Kanye West;88
Lil Uzi Vert;87
Kendrick Lamar;87
Post Malone;87
SZA;87
Juice WRLD;86
Chris Brown;84
Young Thug;84
Gunna;84
XXXTENTACION;84
Don Toliver;82
Playboi Carti;82
Jul;80
Gazo;74
Damso;73
PLK;71
GIMS;71
DYSTINCT;70
Naps;70
SCH;70
Hamza;70
Heuss L'enfoiré;69
Soolking;68
Maes;68
Booba;68
Naza;66
Lacrim;64
ElGrandeToto;63
Niro;62
kouz1;58
L'Algérino;57
Samara;55
Didine Canon 16;52
NORDO;50
Flenn;49
Mc Artisan;49
DAK;42
Zedk;40
Skorap;39
Syc;39
Phobia Isaac;39
Trap King;36
Islem-23;35
Youppi;34
